"County, State",Population,Income (Median),% Children in Poverty,Education (% completed High School),Education (% completed college),Social Association Rate,% Unemployed,Trama,Suicide rate,Homicide Rate,% Fair or Poor Health,% Excessive Drinking,Teen Birth Rate,% With Access to Exercise Opportunities,% Physically Inactive,Food Environment Index,% Adults with Obesity,% Adults Reporting Currently Smoking,% Low Birthweight,Average Number of Physically Unhealthy Days,Average Number of Mentally Unhealthy Days,Injury Death Rate,PTSD,Psychosis ,Primary Care Physicians Ratio,Dentist Ratio,Mental Health Provider Ratio,Preventable Hospitalization Rate,% with Annual Mammogram,% Vaccinated,% Severe Housing Problems,% Long Commute - Drives Alone,% Insufficient Sleep,% Disconnected Youth,% Households with Broadband Access,Desert Y/N,% Living in Desert,Deppresion ,% Homeowners,% Households with Severe Cost Burden,Traffic Volume,Life Expectancy,Age-Adjusted Death Rate,Child Mortality Rate,Infant Mortality Rate,% Frequent Physical Distress,% Frequent Mental Distress,% Adults with Diabetes,HIV Prevalence Rate,Drug Overdose Mortality Rate,% Uninsured Adults,% Uninsured Children,Other Primary Care Provider Ratio,% Less than 18 Years of Age,% 65 and Over,% Rural
"Porter, INDIANA",174791,84352,10,94,68,9.1,3.3,86.4,17,3,15,17,10,80,22,8.1,38,16,7,3.5,5.0,76,21.8,27,1778:1,1665:1,455:1,3614,41,48,11,43,33,5,90,Y,0.08,36,77,10,50,77.5,373,42,4,11,16,10,116,26,7,4,1053:1,21.1,18.4,23.6
"Posey, INDIANA",25063,75907,11,94,69,10.4,2.4,68.2,18,,14,17,14,26,22,8.1,38,18,7,3.6,4.9,66,23.1,17,3140:1,4177:1,8354:1,4177,52,60,9,35,35,,88,Y,1,33,81,10,28,79.0,344,,,11,16,9,66,,7,5,5013:1,21.5,21.1,70.4
"Pulaski, INDIANA",12485,60487,18,88,54,20.3,2.6,96.9,24,,18,16,21,40,28,8.1,40,22,8,4.1,5.5,121,23.3,27,3085:1,6243:1,2081:1,3170,38,31,8,37,36,,85,Y,1,56,77,8,28,72.5,580,117,,13,18,11,57,43,10,6,1135:1,21.8,21.9,100.0
"Putnam, INDIANA",37301,68301,13,91,56,12.7,3.1,110.2,23,,17,18,14,62,27,8.4,36,20,7,3.9,5.4,74,30.3,29,3082:1,2194:1,982:1,3300,41,47,9,42,34,8,85,Y,0.66,55,74,5,41,76.4,432,43,,12,17,11,169,20,9,6,1382:1,19.5,17.5,72.3
"Randolph, INDIANA",24437,56920,23,90,59,13.1,3.0,59.1,18,,18,16,27,43,28,7.6,38,21,8,4.1,5.5,121,13.6,19,6097:1,3491:1,2222:1,3652,45,38,10,33,34,,82,Y,0.67,28,76,7,33,74.1,519,62,,12,18,11,107,56,10,6,1746:1,22.3,20.9,66.6
"Ripley, INDIANA",29087,63571,13,91,54,15.5,3.0,118,19,,16,17,24,32,25,8.7,39,20,6,3.8,5.1,93,40.5,31,29081:1,9696:1,1322:1,2769,50,51,13,42,33,,83,Y,0.43,66,77,10,22,75.7,450,41,8,11,17,10,58,31,10,6,808:1,23.4,19.0,81.4
"Rush, INDIANA",16673,61653,14,89,50,16.2,2.5,90.1,23,,18,16,24,48,29,8.0,39,22,7,4.1,5.4,102,30.5,26,2779:1,2382:1,834:1,3635,50,42,10,37,36,,81,Y,0.45,47,71,12,45,75.4,475,73,,12,18,11,64,22,10,7,1042:1,22.2,19.6,61.4
"Scott, INDIANA",24588,57837,20,82,45,9.4,3.4,99.5,16,,20,17,38,59,31,6.6,38,25,9,4.3,5.6,141,25.7,22,2706:1,3513:1,1294:1,3648,37,41,12,32,39,,81,Y,0.08,59,70,9,54,69.5,739,60,,14,19,11,730,65,10,6,1171:1,22.6,17.1,68.9
"Shelby, INDIANA",44991,66045,19,89,57,11.5,2.5,96.2,20,,16,16,20,54,27,8.2,40,19,7,3.7,5.1,93,25.9,38,2815:1,2647:1,900:1,4002,48,37,11,37,35,10,85,Y,0.24,52,73,11,74,75.6,444,72,8,11,17,10,84,33,9,6,849:1,22.2,18.7,52.6
"Spencer, INDIANA",19967,70440,10,93,65,14.6,2.6,61.3,16,,16,17,20,52,26,9.0,39,19,6,3.7,5.3,62,13.9,24,2828:1,3328:1,2496:1,2216,48,48,7,40,35,,78,Y,0.31,38,80,6,11,76.5,422,68,,11,17,10,30,,9,6,3328:1,21.5,20.9,100.0
"St. Joseph, INDIANA",272234,61028,18,91,66,10.5,3.4,81.4,14,9,17,17,21,83,27,7.7,36,18,9,3.8,5.5,83,17.4,24,1111:1,1565:1,375:1,3187,44,53,13,25,33,5,86,Y,0.84,42,68,12,104,75.5,459,65,8,11,17,11,260,27,10,6,838:1,23.0,16.9,10.0
"Starke, INDIANA",23258,58523,18,85,53,9.0,3.8,72.3,20,,19,17,28,67,29,8.1,42,23,8,4.1,5.8,130,17.8,23,7791:1,4652:1,2326:1,3718,32,33,9,44,36,,81,Y,0.76,40,84,9,15,72.4,619,,,13,19,11,76,52,10,6,1454:1,22.3,20.4,100.0
"Steuben, INDIANA",34725,73250,13,93,58,15.0,2.2,67.6,20,,15,18,23,54,25,7.7,40,19,7,3.7,5.0,67,20.6,22,3463:1,2170:1,1085:1,1566,40,50,9,27,34,,84,Y,0.53,33,80,9,37,78.1,364,64,,11,17,10,61,10,10,6,2894:1,19.4,22.2,63.2
"Sullivan, INDIANA",20670,55497,17,89,51,11.1,3.8,83.8,17,,20,16,28,33,30,7.7,38,23,7,4.4,5.5,73,25.2,22,2965:1,4134:1,2297:1,3793,37,45,13,37,36,,78,Y,0.73,34,76,10,14,75.6,477,97,,13,18,12,122,,10,5,1216:1,18.4,19.1,76.6
"Switzerland, INDIANA",10006,63246,22,83,40,5.1,2.8,137.5,,,20,16,29,51,31,7.3,41,24,8,4.4,5.8,112,48,26,,10006:1,1668:1,3837,35,49,14,59,36,,74,Y,0.74,83,79,7,2,75.2,485,145,,14,19,12,74,32,11,8,5003:1,23.3,19.0,100.0
"Tippecanoe, INDIANA",188717,56088,15,92,72,9.8,2.8,110.9,14,3,16,19,12,81,24,6.6,33,17,8,3.7,5.3,65,29.9,31,1428:1,1868:1,547:1,2533,46,57,16,13,32,3,88,Y,0.11,53,53,16,109,78.3,353,52,7,11,16,11,133,21,10,5,862:1,20.0,12.5,15.7
"Tipton, INDIANA",15361,65025,12,91,59,15.6,2.8,105.6,31,,16,17,19,57,25,8.0,39,18,8,3.8,5.0,78,28.2,18,3843:1,1707:1,1396:1,642,49,53,7,40,34,,87,Y,1,40,81,5,23,76.0,425,94,,11,17,10,46,,8,5,3072:1,20.6,22.1,61.5
"Union, INDIANA",6952,61171,17,89,65,5.7,2.4,143.3,,,16,16,25,62,26,,38,20,6,3.9,5.3,130,28.7,47,7047:1,,6952:1,6659,39,48,10,42,34,,84,Y,0.42,43,79,9,31,75.5,470,,,12,17,10,,,11,8,1738:1,21.3,20.8,100.0
"Vanderburgh, INDIANA",179744,57997,19,91,67,14.8,3.0,102.9,21,8,17,17,23,86,27,7.1,42,20,10,3.9,5.8,105,27.9,33,1286:1,1372:1,392:1,3462,54,59,14,19,35,4,88,Y,0.01,42,65,13,108,74.6,505,74,7,12,18,11,210,32,10,5,455:1,21.4,18.3,8.0
"Vermillion, INDIANA",15451,58280,18,93,59,11.1,3.6,93.3,24,,18,16,28,54,29,7.8,41,22,8,4.1,5.5,80,21.7,38,1705:1,2207:1,773:1,5120,40,45,10,40,36,,86,Y,0.57,48,77,7,32,74.2,527,,,13,18,11,69,24,9,5,813:1,21.6,20.5,58.7
"Vigo, INDIANA",106006,52286,21,90,61,14.4,3.5,112.7,18,5,19,16,25,79,30,5.8,39,22,9,4.1,5.5,75,30.3,36,1204:1,1738:1,533:1,4603,43,48,15,17,37,5,86,Y,0.16,51,63,14,86,74.3,532,63,8,12,18,12,231,22,11,5,502:1,20.3,17.4,24.8
"Wabash, INDIANA",30828,64025,15,91,55,16.9,2.7,82.6,12,,17,16,20,67,27,7.8,40,21,7,4.0,5.5,91,22.8,28,2370:1,2803:1,354:1,2923,48,49,10,27,37,,85,Y,0.25,33,79,7,38,74.3,499,40,,12,18,10,46,27,10,6,1623:1,20.9,22.1,50.1
"Warren, INDIANA",8461,73539,13,93,67,10.6,2.6,90.5,,,15,16,19,34,25,8.5,39,19,6,3.7,5.2,70,31.2,,,8461:1,,2691,39,38,9,42,35,,87,Y,1,34,81,8,8,78.0,373,,,11,17,10,,,7,4,4231:1,21.9,20.9,100.0
"Warrick, INDIANA",65185,84567,8,95,76,10.2,2.6,70.6,16,2,13,17,12,79,22,8.6,33,15,7,3.3,5.1,74,22.9,19,652:1,2507:1,1230:1,3131,52,58,8,29,34,,90,Y,0.12,32,82,8,41,77.1,370,46,5,10,16,9,70,22,7,5,530:1,22.9,18.6,26.7
"Washington, INDIANA",28224,65342,18,87,55,7.8,2.7,85.7,26,,18,16,27,32,29,8.2,41,22,8,4.2,5.5,113,27,27,4015:1,5645:1,1882:1,1981,42,44,10,51,36,,79,Y,0.57,44,81,9,32,73.8,538,61,,13,19,11,101,39,11,7,2352:1,22.3,18.7,76.5
"Wayne, INDIANA",66273,51622,24,88,56,12.8,3.1,96.8,20,8,18,16,27,77,28,6.3,38,22,9,4.2,5.8,146,29.4,33,1661:1,1506:1,199:1,4648,43,44,12,21,37,6,85,Y,0.18,41,68,12,62,72.6,597,71,8,12,18,11,145,77,10,5,586:1,22.4,19.6,37.7
"Wells, INDIANA",28335,68879,12,93,56,16.3,2.3,73.5,18,,15,17,20,48,26,7.8,38,19,7,3.6,5.2,81,28.3,32,2169:1,3542:1,1417:1,3234,48,49,9,32,34,,83,Y,0.48,37,77,7,47,76.7,391,56,,11,17,10,60,24,9,5,1667:1,24.6,18.8,63.3
"White, INDIANA",24598,66167,13,90,61,10.5,2.5,78.2,28,,16,16,31,44,27,8.8,38,19,8,3.7,5.1,105,19.6,22,2739:1,2733:1,2050:1,1194,50,53,10,31,35,,87,Y,0.43,40,78,9,41,75.4,477,57,,12,17,10,97,27,13,7,3075:1,23.0,21.6,61.4
"Whitley, INDIANA",34627,72448,11,92,61,13.1,2.4,50,9,,15,17,17,54,25,8.9,37,19,7,3.7,5.0,66,13.7,14,1722:1,2164:1,866:1,2688,45,51,6,35,35,,88,Y,0.63,27,81,7,38,77.9,380,38,,11,16,9,52,15,8,5,1924:1,22.7,19.4,69.1
"Alameda, California",1628997,121190,10,89,79,6.8,3.3,46.2,9,7,13,16,7,100,18,9.0,25,9,7,3.0,5.1,48,9.9,11,893:1,962:1,133:1,2102,37,46,23,47,30,5,93,N,0,23,54,18,683,82.2,47,33,4,9,14,9,424,18,6,3,1403:1,19.5,15.7,0.5
"Alpine, California",1190,71646,27,93,57,0.0,5.4,88.8,,,15,18,,78,17,7.0,29,13,,3.6,5.5,316,,,1235:0,1190:0,298:1,921,33,35,10,52,32,,86,Y,1,44,83,11,4,,52,,,11,16,9,,,8,6,1190:0,16.1,25.5,100.0
"Amador, California",41412,74356,12,90,58,7.0,4.4,71.7,29,7,15,18,10,62,18,8.9,30,13,6,3.6,5.5,106,16.8,24,2172:1,1593:1,342:1,1514,38,43,18,44,34,,86,Y,0.65,30,79,16,52,78.8,44,,,11,16,9,483,26,6,3,1656:1,15.3,27.9,69.2
"Butte, California",207303,63353,19,90,71,8.1,4.5,91.8,19,4,17,17,12,82,20,7.5,31,15,6,3.8,5.8,107,19.4,23,1707:1,1234:1,117:1,3527,41,38,21,24,34,8,90,Y,0.1,39,58,18,157,76.6,24,40,4,12,18,10,134,38,9,3,748:1,20.0,18.5,21.0
"Calaveras, California",46563,73175,16,93,60,8.9,3.6,63.9,23,5,16,16,13,76,20,7.9,31,15,7,4.0,5.8,98,15.2,13,2568:1,2024:1,439:1,1865,37,39,18,56,32,,85,Y,0.9,25,82,19,23,78.6,56,38,,12,18,9,126,24,8,4,3582:1,17.3,28.9,82.0
"Colusa, California",21914,72963,14,73,51,5.0,11.6,51.5,9,,22,17,18,77,26,6.9,33,14,6,4.3,5.5,64,11.7,16,3653:1,2739:1,438:1,3265,33,41,17,34,34,,80,Y,0.37,19,63,12,122,79.5,34,54,,13,17,12,112,15,14,6,2435:1,26.4,16.1,42.7
"Contra Costa, California",1156966,119667,10,90,72,5.5,3.5,42.4,9,6,14,17,8,97,18,9.0,24,10,7,3.1,4.6,52,9.9,13,986:1,1070:1,249:1,2096,40,48,20,51,32,5,95,N,0,25,67,17,377,81.6,51,33,4,9,14,9,278,19,6,3,1646:1,21.7,17.4,1.0
"Del Norte, California",27082,57297,23,83,50,3.9,5.1,77.7,22,10,21,17,27,84,23,6.5,33,17,7,4.4,5.8,114,24.4,17,1653:1,1177:1,198:1,1451,26,30,19,17,35,,90,Y,0.4,32,68,14,37,74.6,17,43,,14,18,11,183,30,10,4,1290:1,20.9,20.5,43.7
"El Dorado, California",192646,104859,7,95,73,6.1,3.4,57.2,18,3,13,18,6,87,17,8.7,28,11,7,3.2,5.4,76,12.5,16,1323:1,1259:1,235:1,1883,47,45,18,39,32,6,92,Y,0.19,28,76,16,91,81.1,39,41,3,10,16,8,136,21,6,3,1736:1,19.3,23.6,36.7
"Fresno, California",1015190,68693,25,78,58,5.2,6.4,50.2,11,8,21,15,22,84,25,7.4,37,14,7,4.1,5.2,68,14,17,1480:1,1562:1,208:1,2779,38,41,26,26,33,9,85,Y,0.11,29,54,19,229,76.6,26,52,6,13,17,13,271,17,10,3,1015:1,27.6,12.9,11.3
"Glenn, California",28339,63247,19,78,46,6.9,5.3,51.9,19,8,21,17,18,82,25,7.6,32,16,6,4.3,5.6,95,11.7,11,5761:1,1134:1,545:1,3808,37,31,22,31,34,10,86,Y,0.51,25,61,19,85,76.2,31,78,8,14,18,11,81,34,15,5,1574:1,26.7,17.2,41.2
"Humboldt, California",135010,57660,21,91,68,8.7,4.0,108.7,20,8,17,19,11,89,20,7.4,33,16,6,4.1,6.2,105,22.9,28,1642:1,1216:1,170:1,1891,30,38,25,18,35,11,89,Y,0.17,35,57,21,158,76.4,18,44,5,12,18,10,199,33,9,3,758:1,18.5,20.0,31.5
"Imperial, California",178713,55523,28,71,57,4.6,14.7,33.9,7,5,27,16,23,81,30,6.4,38,14,6,4.5,5.5,59,10.8,13,3997:1,3081:1,509:1,2059,27,34,26,24,35,6,87,Y,0.18,25,58,18,186,77.4,24,35,4,15,17,15,275,21,11,3,1051:1,28.1,13.8,18.4
"Inyo, California",18718,64332,14,93,68,5.3,3.7,96.4,13,,15,17,24,87,18,7.9,29,13,8,3.6,5.4,94,,,1459:1,1248:1,197:1,1083,34,34,15,20,33,,83,Y,0.3,44,66,15,60,77.0,20,,,11,16,9,149,45,9,4,851:1,20.2,24.7,42.1
"Kern, California",916108,65981,24,77,51,4.2,6.9,53.4,13,11,23,17,26,85,28,7.3,37,16,8,4.3,5.5,92,14.8,20,2090:1,1901:1,414:1,2700,33,35,24,24,35,11,88,Y,0.12,34,60,18,204,74.9,24,55,6,14,17,13,289,41,12,4,1278:1,28.4,11.8,13.4
"Kings, California",152981,63683,21,74,50,3.6,7.0,43.8,13,7,23,18,26,66,26,7.6,35,15,7,4.3,5.2,63,15.8,15,2692:1,1577:1,424:1,2624,33,34,21,30,35,10,87,Y,0.31,30,55,15,95,77.3,30,45,5,13,17,13,147,17,10,4,1093:1,26.7,10.9,10.9
"Lake, California",68191,51848,23,87,56,5.5,5.0,66.8,27,10,19,16,25,68,24,7.8,34,16,7,4.3,6.1,173,21,20,2371:1,2273:1,263:1,2027,30,28,20,42,32,12,83,Y,0.51,38,70,17,43,74.6,42,48,5,13,18,11,243,81,10,3,1287:1,21.8,23.9,40.8
"Lassen, California",29904,60308,17,80,40,5.4,4.5,53.2,26,6,19,20,25,45,22,7.7,32,17,8,4.2,5.6,116,15.6,28,3684:1,880:1,315:1,2813,30,25,15,17,35,,86,Y,0.64,30,69,15,26,76.5,17,49,,13,17,11,97,31,7,2,1068:1,18.3,17.5,72.5
"Los Angeles, California",9721138,82455,18,80,66,5.9,4.9,48.6,8,6,18,16,12,98,22,8.3,29,11,7,3.5,5.1,49,11,15,1326:1,1032:1,224:1,2462,31,39,32,49,34,7,90,Y,0.01,29,46,24,734,80.1,49,35,4,11,15,12,602,19,12,4,1152:1,20.4,15.2,0.9
"Madera, California",160256,71273,31,72,50,4.5,6.1,49.2,12,7,23,17,23,74,26,7.7,36,16,6,4.5,5.7,71,14.7,14,2125:1,2081:1,532:1,2697,37,34,24,43,35,8,89,Y,0.25,29,65,17,136,77.4,43,46,5,14,18,13,184,18,14,4,1121:1,27.1,14.5,38.6
"Marin, California",256018,135960,8,93,79,8.8,2.7,48,14,2,11,17,5,98,13,9.3,23,9,6,2.8,4.4,62,9,13,671:1,803:1,110:1,1124,44,52,22,43,28,4,95,Y,0.04,22,64,19,353,84.7,43,22,1,8,13,7,341,21,6,3,1255:1,18.9,24.5,6.0
"Mariposa, California",17020,66513,21,92,73,8.7,4.5,74.6,30,,16,16,20,45,19,8.0,30,14,7,3.8,5.6,111,15.5,22,4287:1,1891:1,299:1,2473,36,27,21,40,32,,83,Y,1,39,74,15,11,78.5,40,,,11,17,9,139,33,8,4,1309:1,17.5,30.1,100.0
"Mendocino, California",89783,63621,23,87,58,7.3,4.1,63.6,22,7,18,17,19,67,21,7.5,32,15,7,4.0,5.7,132,18.6,20,1286:1,1247:1,151:1,1594,33,30,24,25,32,12,86,Y,0.29,25,61,19,66,77.2,25,56,6,12,17,10,224,59,11,5,898:1,20.8,24.6,48.5
"Merced, California",290014,65253,26,71,49,3.7,7.7,43.4,9,8,24,17,21,78,27,7.1,33,15,6,4.3,5.2,67,10.2,17,2387:1,2148:1,417:1,3367,33,38,22,34,34,10,89,Y,0.09,31,53,17,166,76.9,34,43,4,14,17,13,175,18,12,4,1480:1,28.6,11.7,16.8
"Modoc, California",8511,51166,28,88,58,0.0,5.5,68.4,,,19,15,24,55,22,6.2,33,17,8,4.2,5.8,139,18.4,,2165:1,1419:1,250:1,1726,35,16,12,24,34,,79,Y,1,37,75,12,18,75.8,24,,,13,18,10,,,11,5,1419:1,18.3,30.4,100.0
"Mono, California",12978,79105,11,87,71,3.8,3.7,58.9,15,,15,19,11,73,18,7.4,30,12,8,3.5,5.2,64,13.3,10,1204:1,2163:1,406:1,1360,42,40,16,17,32,,90,Y,1,36,68,14,57,98.9,17,,,11,16,9,60,,12,6,927:1,16.9,18.5,46.6
"Monterey, California",432858,91450,16,73,51,5.5,5.9,41,10,8,20,16,22,90,24,8.3,28,12,6,3.8,5.3,60,9.8,12,1545:1,1357:1,219:1,2064,36,45,29,31,31,8,92,Y,0.14,24,52,19,240,81.3,31,41,5,12,16,11,213,20,15,4,1568:1,25.4,15.2,14.3
"Napa, California",134300,98580,9,84,66,7.7,3.2,50,11,1,15,18,8,95,18,8.9,28,11,6,3.3,4.9,62,9.7,14,1016:1,988:1,149:1,1590,42,45,22,36,31,2,93,Y,0.02,26,65,18,197,81.4,36,28,3,10,15,9,242,14,9,5,1210:1,19.2,21.3,14.7
"Nevada, California",102293,80069,12,95,72,9.5,3.4,64.7,21,3,13,18,8,81,16,8.0,28,12,6,3.4,5.5,95,14.2,15,1380:1,1162:1,93:1,1695,43,43,20,30,30,7,90,Y,0.41,26,75,21,79,80.0,30,51,5,10,16,8,140,32,7,3,1077:1,16.7,29.5,48.2
"Orange, California",3151184,106047,11,87,73,6.6,3.2,41.7,10,2,14,16,9,99,17,9.0,25,10,6,3.1,4.5,48,9.3,13,1004:1,810:1,262:1,1602,38,47,26,41,32,5,94,N,0,27,57,20,720,81.8,41,29,3,10,14,10,268,21,9,4,1075:1,20.8,16.4,0.2
"Placer, California",417772,106114,6,95,80,7.3,3.1,54.2,12,2,12,19,5,95,15,8.9,26,10,6,3.2,4.8,55,12.5,16,820:1,949:1,265:1,1529,46,46,16,39,31,6,93,Y,0.09,29,74,15,156,81.8,39,27,3,9,15,8,115,17,5,2,1310:1,21.6,20.7,14.6
"Plumas, California",19351,66725,18,94,73,11.0,6.5,54.6,18,,15,16,14,91,18,8.2,30,14,9,3.7,5.7,116,13.6,26,1328:1,1209:1,358:1,1952,33,27,15,26,33,,84,Y,1,23,74,13,0,77.5,26,75,,11,17,9,131,31,7,3,1935:1,16.9,32.0,100.0
"Riverside, California",2473902,86350,13,83,58,4.2,4.2,49.5,12,5,18,17,14,90,22,8.3,36,12,7,3.8,4.8,66,12.9,16,2164:1,1734:1,371:1,2175,34,38,24,48,36,8,92,Y,0.03,34,69,19,232,78.5,48,39,4,11,15,11,496,27,12,4,1501:1,24.0,15.3,5.5
"Sacramento, California",1584169,83985,15,88,68,7.0,3.9,58.9,12,6,16,17,13,99,20,8.3,32,13,7,3.6,5.3,69,14.5,18,1123:1,1215:1,228:1,2527,36,42,21,39,34,7,93,Y,0.01,31,58,17,372,78.4,39,47,5,11,16,11,350,24,7,3,1161:1,22.7,15.4,2.4
"San Benito, California",67579,106560,8,84,58,3.6,5.0,51.1,10,3,18,19,12,84,21,9.1,31,11,7,3.6,5.0,64,13.5,17,3704:1,1931:1,814:1,1911,40,45,22,51,33,,93,Y,0.15,28,66,15,120,80.4,51,38,4,11,15,10,110,18,9,4,2599:1,25.0,13.5,22.7
"San Bernardino, California",2193656,78779,18,81,57,4.2,4.1,51.3,11,7,21,17,17,86,26,7.9,38,13,8,4.1,5.2,64,12.8,17,1699:1,1299:1,337:1,2687,27,28,25,44,37,9,91,Y,0.06,35,61,19,317,76.1,44,50,6,12,16,12,282,20,12,4,1170:1,25.4,12.5,5.4
"San Diego, California",3276208,98365,13,89,74,6.4,3.4,54.9,12,3,15,21,10,97,17,8.7,24,11,7,3.4,4.8,60,13.6,16,1185:1,1013:1,200:1,1965,35,42,25,38,35,5,94,Y,0.03,30,54,21,440,80.8,38,33,4,10,15,10,485,22,9,3,957:1,20.7,15.5,4.4
"San Francisco, California",808437,135366,8,89,88,9.4,2.5,43.7,9,5,13,17,6,100,17,8.7,19,9,7,2.8,4.8,78,8.9,11,610:1,571:1,92:1,2223,33,45,23,49,29,2,92,,,19,39,17,794,82.9,49,31,3,8,13,9,1590,59,5,2,674:1,13.7,18.2,0.0
"San Joaquin, California",793229,84738,16,80,53,4.5,5.2,46.7,11,10,19,16,17,89,25,8.1,33,13,8,3.7,4.7,72,11.6,16,1709:1,1659:1,339:1,2181,32,41,24,42,35,9,90,Y,0.04,33,60,17,243,76.6,42,51,5,12,16,12,235,21,10,3,2216:1,26.1,13.5,7.8
"San Luis Obispo, California",282013,88578,11,92,71,8.6,3.0,58.9,16,2,14,20,7,87,18,8.7,31,12,6,3.4,5.1,69,11.9,16,1205:1,1097:1,139:1,1332,45,49,20,24,32,2,91,Y,0.11,23,62,19,224,81.2,24,26,4,10,16,9,158,30,8,3,1068:1,17.0,22.3,19.1
"San Mateo, California",729181,143795,7,91,80,6.3,2.4,35.8,8,2,12,17,7,99,17,9.4,21,8,7,2.6,4.2,42,9,11,918:1,862:1,214:1,1468,43,51,23,40,29,5,94,Y,0.01,23,60,18,642,84.5,40,27,3,8,12,9,261,16,5,3,1617:1,19.3,18.3,1.7
"Santa Barbara, California",443837,89334,16,82,64,7.6,3.5,51.6,12,4,17,17,18,93,22,8.7,30,12,7,3.6,5.1,63,11.8,14,1305:1,1093:1,152:1,1413,46,49,28,22,30,5,92,Y,0.04,27,53,20,310,81.0,22,40,5,11,15,10,163,22,12,5,1126:1,21.9,16.7,5.6
"Santa Clara, California",1870945,150502,7,89,82,6.0,2.6,36.7,8,2,12,15,7,99,17,9.3,19,7,7,2.5,4.0,44,8.8,11,935:1,782:1,230:1,1893,37,51,22,40,29,4,95,N,0,24,56,16,626,84.1,40,28,3,8,12,9,219,15,5,2,908:1,20.3,15.1,1.3
"Santa Cruz, California",264370,99256,12,89,73,7.5,4.8,59.5,13,3,14,17,8,98,18,8.4,25,11,6,3.4,5.2,73,12.1,18,977:1,1106:1,105:1,1564,46,50,26,37,30,3,93,Y,0.07,24,60,20,324,82.1,37,27,4,10,15,9,220,24,9,4,1029:1,18.1,19.1,13.3
"Shasta, California",180930,66312,16,92,67,8.1,4.6,78,26,6,16,18,17,80,20,7.5,31,15,7,3.9,5.6,112,18.1,28,1283:1,1256:1,198:1,1915,37,35,21,16,34,10,89,Y,0.21,33,65,17,113,74.9,16,47,6,12,18,9,133,30,9,4,748:1,21.5,21.6,33.8
"Sierra, California",3217,63939,14,94,34,0.0,4.2,139.4,,,14,16,,7,18,6.4,30,13,10,3.6,5.5,125,,,,1609:1,402:1,1644,41,17,20,49,33,,77,Y,1,,83,21,1,81.7,49,,,11,17,9,,,7,5,643:1,16.6,31.8,98.8
"Siskiyou, California",43660,51593,18,91,62,10.9,5.7,82.9,23,7,18,16,18,76,21,6.8,33,16,8,4.1,6.0,124,22,25,1337:1,1506:1,191:1,1274,37,26,17,24,33,,84,Y,0.73,26,68,16,51,74.3,24,77,7,13,18,10,156,25,9,3,1065:1,19.9,27.8,70.9
"Solano, California",448747,92711,12,89,65,5.2,4.2,61.5,13,8,16,17,13,97,21,8.7,30,11,7,3.7,5.2,66,15.1,18,1192:1,1025:1,221:1,2268,32,37,20,45,35,7,93,Y,0.03,30,63,17,327,79.4,45,41,5,10,15,10,349,21,7,3,1084:1,21.7,17.6,4.5
"Sonoma, California",482650,96312,9,89,69,7.1,3.1,58.1,14,2,14,21,9,93,17,8.8,29,11,6,3.4,5.1,64,12.5,14,984:1,1020:1,179:1,1526,41,46,22,32,29,6,93,Y,0.08,24,62,18,246,81.1,32,33,3,10,15,8,333,28,9,4,1160:1,18.7,21.9,13.6
"Stanislaus, California",551275,75249,19,80,54,5.6,5.4,52.3,11,4,20,18,19,94,24,8.2,35,14,7,4.2,5.5,66,12.6,18,1528:1,1414:1,383:1,2950,35,40,23,37,33,8,90,Y,0.04,32,61,18,206,76.0,37,45,5,13,17,12,190,23,11,4,1285:1,26.5,13.8,8.2
"Sutter, California",98503,66071,18,80,60,5.9,6.6,52,11,5,19,16,16,82,24,7.5,32,14,7,3.9,5.4,73,15.5,16,1321:1,1173:1,247:1,2913,35,46,19,36,34,10,87,Y,0.17,29,60,14,157,77.5,36,48,5,12,17,11,152,20,11,4,975:1,25.0,16.5,15.1
"Tehama, California",65245,58900,19,87,60,4.6,4.8,77.7,22,6,19,16,23,58,23,7.0,34,16,6,4.3,6.0,107,23.4,26,1871:1,1591:1,476:1,2729,36,28,22,32,34,,83,Y,0.27,37,67,16,50,75.0,32,52,6,13,18,11,83,17,9,4,1418:1,23.7,20.4,57.0
"Trinity, California",15781,49485,24,95,48,5.6,4.6,47.7,38,,19,15,26,89,23,6.9,33,18,6,4.4,6.1,176,14.3,14,5353:1,3156:1,309:1,1598,36,31,21,36,34,,78,Y,1,13,71,13,12,73.9,36,169,,14,19,11,92,32,8,3,1052:1,17.4,30.6,100.0
"Tulare, California",477544,64313,24,73,51,4.6,8.2,53,9,8,24,16,25,72,28,7.5,36,15,7,4.6,5.3,64,14.5,18,2159:1,1749:1,310:1,2324,35,40,26,28,35,9,86,Y,0.2,33,58,17,151,76.2,28,47,6,15,17,14,143,14,14,3,1073:1,29.6,11.8,20.1
"Tuolumne, California",54531,70108,15,92,65,7.7,4.5,68.5,19,3,15,18,11,74,18,7.9,30,13,7,3.6,5.6,95,14.2,19,1595:1,826:1,413:1,1774,37,40,19,31,32,,86,Y,0.26,30,74,17,43,77.0,31,61,7,11,16,9,114,24,7,3,1091:1,17.2,28.1,47.8
"Ventura, California",832605,101981,13,85,66,6.4,3.7,46.9,10,3,16,18,12,98,19,8.9,27,11,6,3.6,4.9,58,11.8,16,1230:1,1022:1,208:1,2007,39,47,23,32,31,6,92,Y,0.01,27,64,19,333,81.3,32,31,4,10,15,10,168,23,12,4,1614:1,21.6,17.5,3.4
